epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,899.848,1.17259,0.78947,0.0047,0.64453,0.70938,0.69514,0.38745,1.67237,1.52345,0.00688,0.000848969,0.000848969,0.000848969
84,910.494,1.21794,0.83253,0.0049,0.6215,0.68143,0.64913,0.35593,1.72161,1.52632,0.00709,0.000841895,0.000841895,0.000841895
85,921.419,1.17094,0.79425,0.00469,0.6862,0.72876,0.73441,0.42325,1.66992,1.344,0.00691,0.000834822,0.000834822,0.000834822
86,932.001,1.18675,0.82721,0.00478,0.68115,0.7031,0.70249,0.40294,1.61441,1.51629,0.00663,0.000827748,0.000827748,0.000827748
87,942.438,1.14948,0.7431,0.00458,0.7051,0.67756,0.71983,0.41222,1.69394,1.48495,0.00701,0.000820675,0.000820675,0.000820675
88,953.021,1.15965,0.75851,0.0046,0.68014,0.68931,0.70322,0.40119,1.71046,1.83065,0.00715,0.000813601,0.000813601,0.000813601
89,963.665,1.15948,0.78404,0.00466,0.5987,0.67835,0.62452,0.33901,1.70313,1.84373,0.00698,0.000806528,0.000806528,0.000806528
90,974.511,1.13195,0.74721,0.00453,0.64102,0.69482,0.66392,0.37073,1.68354,1.54815,0.00702,0.000799454,0.000799454,0.000799454
91,985.295,1.13995,0.76007,0.00459,0.6436,0.71383,0.68977,0.37407,1.70091,1.38107,0.0071,0.00079238,0.00079238,0.00079238
92,995.713,1.14731,0.75384,0.00453,0.63004,0.70057,0.67921,0.37927,1.70699,1.48055,0.00697,0.000785307,0.000785307,0.000785307
93,1006.12,1.15077,0.76946,0.00465,0.63533,0.65508,0.64861,0.36301,1.68094,1.71716,0.00692,0.000778233,0.000778233,0.000778233
94,1016.96,1.1359,0.74804,0.00451,0.66389,0.69422,0.689,0.38832,1.68168,1.59361,0.00701,0.00077116,0.00077116,0.00077116
95,1027.77,1.11262,0.71536,0.00442,0.64692,0.685,0.67537,0.3812,1.65992,1.65338,0.0068,0.000764086,0.000764086,0.000764086
96,1038.34,1.1193,0.73182,0.0045,0.64622,0.7242,0.70308,0.39871,1.68124,1.7132,0.00693,0.000757013,0.000757013,0.000757013
97,1048.71,1.12379,0.722,0.00442,0.66939,0.68991,0.67661,0.386,1.68263,1.63527,0.00699,0.000749939,0.000749939,0.000749939
98,1059.41,1.12453,0.73091,0.00455,0.64967,0.73044,0.69225,0.39538,1.67095,1.48304,0.00687,0.000742866,0.000742866,0.000742866
99,1070.72,1.13521,0.73574,0.00451,0.6356,0.7098,0.68125,0.39502,1.65038,1.61487,0.00682,0.000735792,0.000735792,0.000735792
100,1081.18,1.11581,0.73043,0.00446,0.64584,0.66801,0.65693,0.36581,1.75162,1.97827,0.00728,0.000728719,0.000728719,0.000728719
101,1091.6,1.11312,0.71338,0.00439,0.67549,0.69356,0.69905,0.39845,1.6752,1.71073,0.00689,0.000721645,0.000721645,0.000721645
102,1102.17,1.09012,0.70483,0.00432,0.71364,0.68781,0.72243,0.42126,1.66331,1.528,0.00686,0.000714571,0.000714571,0.000714571
103,1113.33,1.08159,0.6811,0.00427,0.71333,0.70469,0.72737,0.4233,1.65472,1.47438,0.00679,0.000707498,0.000707498,0.000707498
104,1124.61,1.0845,0.69787,0.00433,0.64363,0.70912,0.69397,0.39611,1.68173,1.5388,0.00689,0.000700424,0.000700424,0.000700424
105,1134.96,1.0893,0.71185,0.00433,0.63994,0.67039,0.65187,0.37493,1.72575,2.03652,0.00709,0.000693351,0.000693351,0.000693351
106,1145.49,1.11684,0.7341,0.00441,0.59766,0.72126,0.66068,0.37481,1.72246,1.77255,0.0071,0.000686277,0.000686277,0.000686277
107,1156.82,1.08343,0.69316,0.00431,0.67927,0.7387,0.72216,0.41572,1.65173,1.39632,0.00682,0.000679204,0.000679204,0.000679204
108,1168.48,1.07258,0.6868,0.00432,0.65883,0.68384,0.68889,0.39571,1.65509,1.75059,0.00691,0.00067213,0.00067213,0.00067213
109,1179.68,1.08262,0.69805,0.0043,0.67459,0.71705,0.71944,0.41149,1.67151,1.66605,0.00701,0.000665057,0.000665057,0.000665057
110,1190.55,1.08822,0.70187,0.00435,0.72228,0.6781,0.72194,0.42394,1.66435,1.75244,0.00695,0.000657983,0.000657983,0.000657983
111,1201,1.04875,0.66677,0.00417,0.74943,0.65588,0.72646,0.42928,1.6512,1.71793,0.00678,0.000650909,0.000650909,0.000650909
112,1211.78,1.08058,0.69259,0.00431,0.6824,0.71364,0.70832,0.41233,1.67764,1.6153,0.00694,0.000643836,0.000643836,0.000643836
113,1222.81,1.04628,0.65418,0.00413,0.67423,0.70444,0.71545,0.41152,1.68474,1.63671,0.00691,0.000636762,0.000636762,0.000636762
114,1233.21,1.03452,0.66226,0.00409,0.69273,0.72385,0.7272,0.42497,1.69388,1.58891,0.007,0.000629689,0.000629689,0.000629689
115,1243.67,1.05013,0.6576,0.00415,0.67259,0.68527,0.68364,0.39355,1.71283,1.74222,0.00707,0.000622615,0.000622615,0.000622615
116,1254.22,1.05555,0.65968,0.00418,0.71572,0.67788,0.70737,0.41609,1.68732,1.70863,0.00705,0.000615542,0.000615542,0.000615542
117,1265.41,1.04115,0.67031,0.00407,0.6669,0.70243,0.67665,0.38708,1.677,1.64048,0.00688,0.000608468,0.000608468,0.000608468
118,1276.02,1.06222,0.68733,0.0042,0.68229,0.70218,0.6851,0.3996,1.69439,1.71732,0.00707,0.000601395,0.000601395,0.000601395
119,1286.36,1.02726,0.6567,0.00407,0.72612,0.68386,0.72683,0.42436,1.6395,1.67767,0.00683,0.000594321,0.000594321,0.000594321
120,1296.76,1.00977,0.63051,0.00401,0.72678,0.70662,0.73765,0.43004,1.6755,1.67642,0.00699,0.000587248,0.000587248,0.000587248
121,1307.75,1.02083,0.63452,0.00403,0.63778,0.69793,0.66391,0.38186,1.72447,1.7084,0.00707,0.000580174,0.000580174,0.000580174
122,1318.45,1.06929,0.70372,0.00424,0.65123,0.73409,0.69738,0.40905,1.64024,1.49531,0.00674,0.0005731,0.0005731,0.0005731
123,1328.83,1.02156,0.63063,0.00398,0.66962,0.70714,0.69198,0.39525,1.6856,1.66073,0.00693,0.000566027,0.000566027,0.000566027
124,1339.42,1.01409,0.65257,0.00399,0.67374,0.72048,0.70255,0.40469,1.67818,1.57241,0.00695,0.000558953,0.000558953,0.000558953
125,1350.18,1.02025,0.63318,0.004,0.71779,0.70028,0.70557,0.4111,1.66323,1.57125,0.00687,0.00055188,0.00055188,0.00055188
126,1361.06,1.0206,0.65096,0.00402,0.67755,0.70564,0.68884,0.40247,1.6707,1.74018,0.00694,0.000544806,0.000544806,0.000544806
127,1371.92,0.97655,0.59682,0.00382,0.64966,0.73163,0.69571,0.39358,1.69871,1.6758,0.00697,0.000537733,0.000537733,0.000537733
128,1382.85,0.99437,0.61652,0.00391,0.67148,0.72461,0.70809,0.41471,1.67417,1.74508,0.00689,0.000530659,0.000530659,0.000530659
129,1393.19,0.9917,0.62809,0.00391,0.69382,0.71756,0.70494,0.41264,1.69664,1.6706,0.00702,0.000523586,0.000523586,0.000523586
130,1403.49,0.9834,0.62708,0.00385,0.60631,0.71213,0.65749,0.37955,1.70403,1.82346,0.00701,0.000516512,0.000516512,0.000516512
131,1414.03,0.99347,0.62562,0.00396,0.72962,0.68286,0.72399,0.42728,1.70154,1.74887,0.00713,0.000509438,0.000509438,0.000509438
132,1425.18,0.9782,0.59031,0.00384,0.67588,0.72396,0.71959,0.4221,1.7009,1.75042,0.00711,0.000502365,0.000502365,0.000502365
133,1435.74,0.97576,0.60597,0.00382,0.69706,0.69761,0.70595,0.41583,1.69219,1.68837,0.00704,0.000495291,0.000495291,0.000495291
134,1446.09,0.96571,0.59316,0.00382,0.72437,0.70221,0.70925,0.40929,1.70747,1.69424,0.0071,0.000488218,0.000488218,0.000488218
135,1456.56,0.95407,0.57646,0.00374,0.68131,0.71531,0.70281,0.40966,1.67684,1.78116,0.00694,0.000481144,0.000481144,0.000481144
136,1467.4,0.99677,0.64682,0.0039,0.70434,0.71857,0.71611,0.41723,1.67858,1.71188,0.00695,0.000474071,0.000474071,0.000474071
137,1478.05,0.97794,0.6216,0.00387,0.68804,0.71918,0.71082,0.41563,1.64532,1.686,0.00679,0.000466997,0.000466997,0.000466997
138,1488.36,0.97826,0.60796,0.00386,0.68228,0.71205,0.69858,0.40532,1.68826,1.74201,0.00704,0.000459924,0.000459924,0.000459924
139,1499,0.93797,0.56774,0.00365,0.69486,0.69668,0.70044,0.41105,1.70926,1.85794,0.0071,0.00045285,0.00045285,0.00045285
140,1509.55,0.95534,0.58986,0.00373,0.70153,0.72109,0.71087,0.41473,1.69642,1.64516,0.007,0.000445777,0.000445777,0.000445777
141,1520.34,0.99717,0.63596,0.00398,0.69177,0.69979,0.70133,0.41195,1.7088,1.76407,0.00704,0.000438703,0.000438703,0.000438703
142,1530.92,0.97111,0.62204,0.00378,0.6509,0.69852,0.67966,0.39072,1.70395,1.84972,0.00699,0.000431629,0.000431629,0.000431629
143,1541.46,0.93367,0.57585,0.00365,0.66557,0.69897,0.68082,0.38826,1.67403,1.68335,0.00683,0.000424556,0.000424556,0.000424556
144,1551.88,0.93167,0.57154,0.00359,0.63407,0.69615,0.66515,0.37987,1.70243,1.77714,0.00699,0.000417482,0.000417482,0.000417482
145,1562.48,0.9484,0.60028,0.00368,0.67059,0.69705,0.67874,0.39004,1.68747,1.82439,0.00694,0.000410409,0.000410409,0.000410409
146,1573.28,0.96336,0.6127,0.00376,0.63316,0.70539,0.64922,0.36822,1.67118,1.77344,0.00687,0.000403335,0.000403335,0.000403335
147,1583.97,0.97521,0.64154,0.00389,0.6687,0.69049,0.67497,0.39023,1.68627,1.68687,0.00694,0.000396262,0.000396262,0.000396262
148,1594.37,0.9351,0.59147,0.00362,0.71439,0.71039,0.71612,0.42445,1.67358,1.71141,0.00699,0.000389188,0.000389188,0.000389188
149,1604.82,0.9324,0.57406,0.00362,0.70781,0.69673,0.71601,0.42339,1.70535,1.87741,0.00708,0.000382115,0.000382115,0.000382115
150,1615.97,0.92652,0.56999,0.00362,0.67793,0.70919,0.71093,0.41898,1.70342,1.9605,0.00705,0.000375041,0.000375041,0.000375041
151,1626.95,0.94429,0.58598,0.00371,0.6867,0.72088,0.71965,0.42668,1.67082,1.76409,0.00692,0.000367967,0.000367967,0.000367967
152,1637.33,0.9104,0.55155,0.00358,0.70324,0.68319,0.69284,0.40586,1.67957,1.79072,0.00691,0.000360894,0.000360894,0.000360894
153,1647.66,0.91772,0.56596,0.00363,0.71994,0.68151,0.71487,0.41601,1.68055,1.88235,0.00699,0.00035382,0.00035382,0.00035382
